label,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,cv_f1_macro_mean,cv_f1_macro_std
Logistic Regression,0.804,0.7861747693549165,0.7943141945773524,0.788572065518714,0.806912136885762,0.6995402052028629,0.04251567689474794
KNN,0.668,0.6566441441441442,0.6565709728867622,0.6500169108594774,0.675639433418564,0.5639514012835872,0.03197054404737301
Random Forest,0.742,0.711886915994984,0.7125598086124402,0.7120707418070679,0.7421068628316,0.652167798642493,0.03175681930866579
SVM (baseline),0.78,0.7535185289479612,0.7554864433811802,0.7542724127655123,0.7811122739086932,0.6384674957615041,0.03158701059983047
