feature,importance_mean,importance_std
TCS34725_B,0.14234833765573784,0.017420749775979454
AS7341_F1,0.12039534029757876,0.015509049546033469
TCS34725_R,0.11631606327392059,0.011831170507731092
AS7341_F5,0.0770454689583612,0.013074448231109377
TCS34725_G,0.07126948003579622,0.013203577818968679
AS7341_F7,0.05105444373727286,0.0114079343380375
AS7341_F8,0.04885395783615965,0.011471214398918546
AS7341_F6,0.02546867857124608,0.008068990629011738
AS7341_F4,0.017054409696650848,0.010579108447070572
AS7341_F2,0.004788494348204182,0.008233005743169281
VL53L1X_Distance_mm,0.0036907037311768734,0.005811231163552648
AS7341_Clear,0.0021005152298188444,0.004693163152244203
AS7341_NIR,-0.001763201754305166,0.0036366430395083312
AS7341_F3,-0.0020630701831773437,0.006069384911163713
TCS34725_Clear,-0.006038323071822145,0.002699858828592362
